Ensmbl_IDs	Gene_Description	PWM	Mouse_Gene_Name	TPM_rep1	FPKM_rep1	TPM_rep2	FPKM_rep2
ENSMUSG00000030103	basic helix-loop-helix family, member e40 [Source:MGI Symbol;Acc:MGI:1097714]	MA0464.1.Bhlhe40	Bhlhe40	10.77	7.99	11.29	8.7
ENSMUSG00000030103	basic helix-loop-helix family, member e40 [Source:MGI Symbol;Acc:MGI:1097714]	BU0007.Bhlhb2_primary	Bhlhe40	10.77	7.99	11.29	8.7
ENSMUSG00000030103	basic helix-loop-helix family, member e40 [Source:MGI Symbol;Acc:MGI:1097714]	BHLHE40.Ca9854.1.YY2017.HT-SE2	Bhlhe40	10.77	7.99	11.29	8.7
ENSMUSG00000030103	basic helix-loop-helix family, member e40 [Source:MGI Symbol;Acc:MGI:1097714]	MA0464.2.BHLHE40	Bhlhe40	10.77	7.99	11.29	8.7
ENSMUSG00000030103	basic helix-loop-helix family, member e40 [Source:MGI Symbol;Acc:MGI:1097714]	BHE40_HUMAN.H11MO.0.A	Bhlhe40	10.77	7.99	11.29	8.7
ENSMUSG00000030103	basic helix-loop-helix family, member e40 [Source:MGI Symbol;Acc:MGI:1097714]	BHLHE40.Me9854.1.YY2017.HT-SE2	Bhlhe40	10.77	7.99	11.29	8.7
ENSMUSG00000030256	basic helix-loop-helix family, member e41 [Source:MGI Symbol;Acc:MGI:1930704]	BHLHE41.Me9855.1.YY2017.HT-SE2	Bhlhe41	5.43	4.03	5.91	4.56
ENSMUSG00000030256	basic helix-loop-helix family, member e41 [Source:MGI Symbol;Acc:MGI:1930704]	BHLHE41.Ca9855.1.YY2017.HT-SE2	Bhlhe41	5.43	4.03	5.91	4.56
ENSMUSG00000030256	basic helix-loop-helix family, member e41 [Source:MGI Symbol;Acc:MGI:1930704]	MA0636.1.BHLHE41	Bhlhe41	5.43	4.03	5.91	4.56
ENSMUSG00000056501	CCAAT/enhancer binding protein (C/EBP), beta [Source:MGI Symbol;Acc:MGI:88373]	CEBPB_HUMAN.H11MO.0.A	Cebpb	5.84	4.33	5.61	4.33
ENSMUSG00000056501	CCAAT/enhancer binding protein (C/EBP), beta [Source:MGI Symbol;Acc:MGI:88373]	MA0466.2.CEBPB	Cebpb	5.84	4.33	5.61	4.33
ENSMUSG00000056501	CCAAT/enhancer binding protein (C/EBP), beta [Source:MGI Symbol;Acc:MGI:88373]	CEBPB.Ca9789.1.YY2017.HT-SE2	Cebpb	5.84	4.33	5.61	4.33
ENSMUSG00000056501	CCAAT/enhancer binding protein (C/EBP), beta [Source:MGI Symbol;Acc:MGI:88373]	CEBPB.Me9789.1.YY2017.HT-SE2	Cebpb	5.84	4.33	5.61	4.33
ENSMUSG00000056501	CCAAT/enhancer binding protein (C/EBP), beta [Source:MGI Symbol;Acc:MGI:88373]	SMiLE_CEBPb	Cebpb	5.84	4.33	5.61	4.33
ENSMUSG00000056501	CCAAT/enhancer binding protein (C/EBP), beta [Source:MGI Symbol;Acc:MGI:88373]	MA0466.1.CEBPB	Cebpb	5.84	4.33	5.61	4.33
ENSMUSG00000071637	CCAAT/enhancer binding protein (C/EBP), delta [Source:MGI Symbol;Acc:MGI:103573]	CEBPD.Ca9787.1.YY2017.HT-SE2	Cebpd	3.09	2.3	3.15	2.43
ENSMUSG00000071637	CCAAT/enhancer binding protein (C/EBP), delta [Source:MGI Symbol;Acc:MGI:103573]	MA0836.1.CEBPD	Cebpd	3.09	2.3	3.15	2.43
ENSMUSG00000071637	CCAAT/enhancer binding protein (C/EBP), delta [Source:MGI Symbol;Acc:MGI:103573]	CEBPD_HUMAN.H11MO.0.C	Cebpd	3.09	2.3	3.15	2.43
ENSMUSG00000071637	CCAAT/enhancer binding protein (C/EBP), delta [Source:MGI Symbol;Acc:MGI:103573]	CEBPD.Me9787.1.YY2017.HT-SE2	Cebpd	3.09	2.3	3.15	2.43
ENSMUSG00000056216	CCAAT/enhancer binding protein (C/EBP), gamma [Source:MGI Symbol;Acc:MGI:104982]	MA0838.1.CEBPG	Cebpg	9.88	7.33	11.25	8.67
ENSMUSG00000056216	CCAAT/enhancer binding protein (C/EBP), gamma [Source:MGI Symbol;Acc:MGI:104982]	CEBPG.Me9786.1.YY2017.HT-SE2	Cebpg	9.88	7.33	11.25	8.67
ENSMUSG00000056216	CCAAT/enhancer binding protein (C/EBP), gamma [Source:MGI Symbol;Acc:MGI:104982]	CEBPG.Ca9786.2.YY2017.HT-SE2	Cebpg	9.88	7.33	11.25	8.67
ENSMUSG00000056216	CCAAT/enhancer binding protein (C/EBP), gamma [Source:MGI Symbol;Acc:MGI:104982]	CEBPG.Me9786.2.YY2017.HT-SE2	Cebpg	9.88	7.33	11.25	8.67
ENSMUSG00000056216	CCAAT/enhancer binding protein (C/EBP), gamma [Source:MGI Symbol;Acc:MGI:104982]	CEBPG.Ca9786.1.YY2017.HT-SE2	Cebpg	9.88	7.33	11.25	8.67
ENSMUSG00000056216	CCAAT/enhancer binding protein (C/EBP), gamma [Source:MGI Symbol;Acc:MGI:104982]	CEBPG_HUMAN.H11MO.0.B	Cebpg	9.88	7.33	11.25	8.67
ENSMUSG00000056216	CCAAT/enhancer binding protein (C/EBP), gamma [Source:MGI Symbol;Acc:MGI:104982]	TA0392_CEBPG_full_dimer	Cebpg	9.88	7.33	11.25	8.67
ENSMUSG00000029238	circadian locomotor output cycles kaput [Source:MGI Symbol;Acc:MGI:99698]	CLOCK.Me9865.1.YY2017.HT-SE2	Clock	7.09	5.26	8.45	6.51
ENSMUSG00000029238	circadian locomotor output cycles kaput [Source:MGI Symbol;Acc:MGI:99698]	CLOCK_HUMAN.H11MO.0.C	Clock	7.09	5.26	8.45	6.51
ENSMUSG00000029238	circadian locomotor output cycles kaput [Source:MGI Symbol;Acc:MGI:99698]	CLOCK.Ca9865.1.YY2017.HT-SE2	Clock	7.09	5.26	8.45	6.51
ENSMUSG00000029238	circadian locomotor output cycles kaput [Source:MGI Symbol;Acc:MGI:99698]	MA0819.1.CLOCK	Clock	7.09	5.26	8.45	6.51
ENSMUSG00000025958	cAMP responsive element binding protein 1 [Source:MGI Symbol;Acc:MGI:88494]	MA0018.2.CREB1	Creb1	21.27	15.78	23.2	17.89
ENSMUSG00000025958	cAMP responsive element binding protein 1 [Source:MGI Symbol;Acc:MGI:88494]	CREB1.Me9812.1.YY2017.HT-SE2	Creb1	21.27	15.78	23.2	17.89
ENSMUSG00000025958	cAMP responsive element binding protein 1 [Source:MGI Symbol;Acc:MGI:88494]	CREB1.Ca9812.4.YY2017.HT-SE2	Creb1	21.27	15.78	23.2	17.89
ENSMUSG00000025958	cAMP responsive element binding protein 1 [Source:MGI Symbol;Acc:MGI:88494]	MA0018.1.CREB1	Creb1	21.27	15.78	23.2	17.89
ENSMUSG00000025958	cAMP responsive element binding protein 1 [Source:MGI Symbol;Acc:MGI:88494]	CREB1.Me9812.2.YY2017.HT-SE2	Creb1	21.27	15.78	23.2	17.89
ENSMUSG00000025958	cAMP responsive element binding protein 1 [Source:MGI Symbol;Acc:MGI:88494]	CREB1.Me9812.4.YY2017.HT-SE2	Creb1	21.27	15.78	23.2	17.89
ENSMUSG00000025958	cAMP responsive element binding protein 1 [Source:MGI Symbol;Acc:MGI:88494]	CREB1.Ca9812.2.YY2017.HT-SE2	Creb1	21.27	15.78	23.2	17.89
ENSMUSG00000025958	cAMP responsive element binding protein 1 [Source:MGI Symbol;Acc:MGI:88494]	CREB1.Me9812.3.YY2017.HT-SE2	Creb1	21.27	15.78	23.2	17.89
ENSMUSG00000025958	cAMP responsive element binding protein 1 [Source:MGI Symbol;Acc:MGI:88494]	CREB1.Ca9812.3.YY2017.HT-SE2	Creb1	21.27	15.78	23.2	17.89
ENSMUSG00000025958	cAMP responsive element binding protein 1 [Source:MGI Symbol;Acc:MGI:88494]	MA0018.3.CREB1	Creb1	21.27	15.78	23.2	17.89
ENSMUSG00000025958	cAMP responsive element binding protein 1 [Source:MGI Symbol;Acc:MGI:88494]	CREB1.Ca9812.1.YY2017.HT-SE2	Creb1	21.27	15.78	23.2	17.89
ENSMUSG00000025958	cAMP responsive element binding protein 1 [Source:MGI Symbol;Acc:MGI:88494]	CREB1_HUMAN.H11MO.0.A	Creb1	21.27	15.78	23.2	17.89
ENSMUSG00000028466	cAMP responsive element binding protein 3 [Source:MGI Symbol;Acc:MGI:99946]	CREB3.Me9807.2.YY2017.HT-SE2	Creb3	54.76	40.63	41.7	32.15
ENSMUSG00000028466	cAMP responsive element binding protein 3 [Source:MGI Symbol;Acc:MGI:99946]	CREB3.Me9807.1.YY2017.HT-SE2	Creb3	54.76	40.63	41.7	32.15
ENSMUSG00000028466	cAMP responsive element binding protein 3 [Source:MGI Symbol;Acc:MGI:99946]	CREB3.Me9807.3.YY2017.HT-SE2	Creb3	54.76	40.63	41.7	32.15
ENSMUSG00000028466	cAMP responsive element binding protein 3 [Source:MGI Symbol;Acc:MGI:99946]	CREB3.Ca9807.1.YY2017.HT-SE2	Creb3	54.76	40.63	41.7	32.15
ENSMUSG00000028466	cAMP responsive element binding protein 3 [Source:MGI Symbol;Acc:MGI:99946]	CREB3.Ca9807.3.YY2017.HT-SE2	Creb3	54.76	40.63	41.7	32.15
ENSMUSG00000028466	cAMP responsive element binding protein 3 [Source:MGI Symbol;Acc:MGI:99946]	TA0396_CREB3_full_dimer	Creb3	54.76	40.63	41.7	32.15
ENSMUSG00000028466	cAMP responsive element binding protein 3 [Source:MGI Symbol;Acc:MGI:99946]	MA0638.1.CREB3	Creb3	54.76	40.63	41.7	32.15
ENSMUSG00000028466	cAMP responsive element binding protein 3 [Source:MGI Symbol;Acc:MGI:99946]	CREB3.Ca9807.2.YY2017.HT-SE2	Creb3	54.76	40.63	41.7	32.15
ENSMUSG00000027230	cAMP responsive element binding protein 3-like 1 [Source:MGI Symbol;Acc:MGI:1347062]	CREB3L1.Me9808.6.YY2017.HT-SE2	Creb3l1	5.81	4.31	5.71	4.4
ENSMUSG00000027230	cAMP responsive element binding protein 3-like 1 [Source:MGI Symbol;Acc:MGI:1347062]	CREB3L1.Ca9808.2.YY2017.HT-SE2	Creb3l1	5.81	4.31	5.71	4.4
ENSMUSG00000027230	cAMP responsive element binding protein 3-like 1 [Source:MGI Symbol;Acc:MGI:1347062]	CREB3L1.Me9808.4.YY2017.HT-SE2	Creb3l1	5.81	4.31	5.71	4.4
ENSMUSG00000027230	cAMP responsive element binding protein 3-like 1 [Source:MGI Symbol;Acc:MGI:1347062]	CREB3L1.Ca9808.4.YY2017.HT-SE2	Creb3l1	5.81	4.31	5.71	4.4
ENSMUSG00000027230	cAMP responsive element binding protein 3-like 1 [Source:MGI Symbol;Acc:MGI:1347062]	MA0839.1.CREB3L1	Creb3l1	5.81	4.31	5.71	4.4
ENSMUSG00000027230	cAMP responsive element binding protein 3-like 1 [Source:MGI Symbol;Acc:MGI:1347062]	CREB3L1.Ca9808.3.YY2017.HT-SE2	Creb3l1	5.81	4.31	5.71	4.4
ENSMUSG00000027230	cAMP responsive element binding protein 3-like 1 [Source:MGI Symbol;Acc:MGI:1347062]	CREB3L1.Ca9808.1.YY2017.HT-SE2	Creb3l1	5.81	4.31	5.71	4.4
ENSMUSG00000027230	cAMP responsive element binding protein 3-like 1 [Source:MGI Symbol;Acc:MGI:1347062]	CREB3L1.Me9808.5.YY2017.HT-SE2	Creb3l1	5.81	4.31	5.71	4.4
ENSMUSG00000027230	cAMP responsive element binding protein 3-like 1 [Source:MGI Symbol;Acc:MGI:1347062]	TA0394_CREB3L1_DBD_dimer	Creb3l1	5.81	4.31	5.71	4.4
ENSMUSG00000027230	cAMP responsive element binding protein 3-like 1 [Source:MGI Symbol;Acc:MGI:1347062]	CREB3L1.Ca9808.5.YY2017.HT-SE2	Creb3l1	5.81	4.31	5.71	4.4
ENSMUSG00000027230	cAMP responsive element binding protein 3-like 1 [Source:MGI Symbol;Acc:MGI:1347062]	CREB3L1.Me9808.2.YY2017.HT-SE2	Creb3l1	5.81	4.31	5.71	4.4
ENSMUSG00000027230	cAMP responsive element binding protein 3-like 1 [Source:MGI Symbol;Acc:MGI:1347062]	CREB3L1.Me9808.1.YY2017.HT-SE2	Creb3l1	5.81	4.31	5.71	4.4
ENSMUSG00000027230	cAMP responsive element binding protein 3-like 1 [Source:MGI Symbol;Acc:MGI:1347062]	TA0848_CREB3L1_full_dimer	Creb3l1	5.81	4.31	5.71	4.4
ENSMUSG00000027230	cAMP responsive element binding protein 3-like 1 [Source:MGI Symbol;Acc:MGI:1347062]	CREB3L1.Me9808.3.YY2017.HT-SE2	Creb3l1	5.81	4.31	5.71	4.4
ENSMUSG00000027230	cAMP responsive element binding protein 3-like 1 [Source:MGI Symbol;Acc:MGI:1347062]	TA0395_CREB3L1_full_dimer	Creb3l1	5.81	4.31	5.71	4.4
ENSMUSG00000027230	cAMP responsive element binding protein 3-like 1 [Source:MGI Symbol;Acc:MGI:1347062]	CREB3L1.Ca9808.6.YY2017.HT-SE2	Creb3l1	5.81	4.31	5.71	4.4
ENSMUSG00000038648	cAMP responsive element binding protein 3-like 2 [Source:MGI Symbol;Acc:MGI:2442695]	MA0608.1.Creb3l2	Creb3l2	37.55	27.85	29.95	23.09
ENSMUSG00000038648	cAMP responsive element binding protein 3-like 2 [Source:MGI Symbol;Acc:MGI:2442695]	TA0399_Creb3l2_DBD_dimer	Creb3l2	37.55	27.85	29.95	23.09
ENSMUSG00000038648	cAMP responsive element binding protein 3-like 2 [Source:MGI Symbol;Acc:MGI:2442695]	TA0400_Creb3l2_DBD_dimer	Creb3l2	37.55	27.85	29.95	23.09
ENSMUSG00000053007	cAMP responsive element binding protein 5 [Source:MGI Symbol;Acc:MGI:2443973]	CREB5.Me9790.2.YY2017.HT-SE2	Creb5	18.57	13.77	21.19	16.34
ENSMUSG00000053007	cAMP responsive element binding protein 5 [Source:MGI Symbol;Acc:MGI:2443973]	MA0840.1.Creb5	Creb5	18.57	13.77	21.19	16.34
ENSMUSG00000053007	cAMP responsive element binding protein 5 [Source:MGI Symbol;Acc:MGI:2443973]	CREB5.Me9790.1.YY2017.HT-SE2	Creb5	18.57	13.77	21.19	16.34
ENSMUSG00000053007	cAMP responsive element binding protein 5 [Source:MGI Symbol;Acc:MGI:2443973]	CREB5.Ca9790.1.YY2017.HT-SE2	Creb5	18.57	13.77	21.19	16.34
ENSMUSG00000053007	cAMP responsive element binding protein 5 [Source:MGI Symbol;Acc:MGI:2443973]	CREB5.Ca9790.2.YY2017.HT-SE2	Creb5	18.57	13.77	21.19	16.34
ENSMUSG00000063889	cAMP responsive element modulator [Source:MGI Symbol;Acc:MGI:88495]	MA0609.1.Crem	Crem	20.65	15.32	18.14	13.99
ENSMUSG00000063889	cAMP responsive element modulator [Source:MGI Symbol;Acc:MGI:88495]	CREM.Ca9811.1.YY2017.HT-SE2	Crem	20.65	15.32	18.14	13.99
ENSMUSG00000063889	cAMP responsive element modulator [Source:MGI Symbol;Acc:MGI:88495]	CREM.Me9811.1.YY2017.HT-SE2	Crem	20.65	15.32	18.14	13.99
ENSMUSG00000063889	cAMP responsive element modulator [Source:MGI Symbol;Acc:MGI:88495]	CREM_HUMAN.H11MO.0.C	Crem	20.65	15.32	18.14	13.99
ENSMUSG00000005698	CCCTC-binding factor [Source:MGI Symbol;Acc:MGI:109447]	CTCF_HUMAN.H11MO.0.A	Ctcf	38.28	28.4	46.31	35.7
ENSMUSG00000005698	CCCTC-binding factor [Source:MGI Symbol;Acc:MGI:109447]	TA0032_CTCF_full_monomer	Ctcf	38.28	28.4	46.31	35.7
ENSMUSG00000005698	CCCTC-binding factor [Source:MGI Symbol;Acc:MGI:109447]	SMiLE_CTCF_001	Ctcf	38.28	28.4	46.31	35.7
ENSMUSG00000005698	CCCTC-binding factor [Source:MGI Symbol;Acc:MGI:109447]	SMiLE_CTCF_002	Ctcf	38.28	28.4	46.31	35.7
ENSMUSG00000005698	CCCTC-binding factor [Source:MGI Symbol;Acc:MGI:109447]	MA0139.1.CTCF	Ctcf	38.28	28.4	46.31	35.7
ENSMUSG00000005698	CCCTC-binding factor [Source:MGI Symbol;Acc:MGI:109447]	HU0006_CTCF	Ctcf	38.28	28.4	46.31	35.7
ENSMUSG00000029705	cut-like homeobox 1 [Source:MGI Symbol;Acc:MGI:88568]	CUX1_HUMAN.H11MO.0.C	Cux1	50.39	37.38	47.16	36.36
ENSMUSG00000029705	cut-like homeobox 1 [Source:MGI Symbol;Acc:MGI:88568]	CUX1.Ca9743.1.YY2017.HT-SE2	Cux1	50.39	37.38	47.16	36.36
ENSMUSG00000029705	cut-like homeobox 1 [Source:MGI Symbol;Acc:MGI:88568]	MA0754.1.CUX1	Cux1	50.39	37.38	47.16	36.36
ENSMUSG00000029705	cut-like homeobox 1 [Source:MGI Symbol;Acc:MGI:88568]	HOMEO0016_Cutl1_3494.1	Cux1	50.39	37.38	47.16	36.36
